time,voltage,current
191,1.10,24.40
712,1.10,24.43
1235,1.05,24.45
1760,1.07,24.44
2283,1.14,24.43
2806,1.07,24.44
3330,1.10,24.43
3854,1.13,24.44
4377,1.11,24.44
4900,1.12,24.43
5424,1.12,24.43
5947,1.11,24.44
6470,1.09,24.44
6993,1.09,24.43
7518,1.07,24.44
8041,1.12,24.43
8564,1.14,24.44
9088,1.18,24.43
9615,1.01,24.44
10138,1.27,24.41
10662,1.12,24.43
11186,1.14,24.44
11709,1.15,24.43
12233,1.07,24.44
12756,1.14,24.43
13280,1.15,24.43
13803,1.12,24.42
14329,1.17,24.43
14854,1.19,24.43
15377,1.13,24.44
15900,1.09,24.44
16423,1.06,24.44
16947,1.08,24.44
17470,1.11,24.43
17993,1.08,24.44
18516,1.10,24.44
19041,1.12,24.44
19564,1.14,24.44
20087,1.05,24.44
20611,1.16,24.44
21134,1.14,24.44
21657,1.17,24.43
22180,1.07,24.44
22704,1.14,24.43
23227,1.16,24.44
23751,1.09,24.43
24274,1.09,24.43
24801,1.17,24.43
25324,1.15,24.44
25847,1.04,24.44
26371,1.09,24.44
26894,1.09,24.43
27418,1.09,24.43
27941,1.12,24.44
28468,1.11,24.43
28992,1.08,24.44
29515,0.99,24.45
30039,1.15,24.44
30562,1.13,24.43
31085,1.12,24.43
31608,1.15,24.43
32132,1.09,24.44
32656,1.09,24.43
33179,1.12,24.43
33702,1.17,24.43
34226,1.13,24.43
34749,1.09,24.44
35272,1.12,24.43
35795,1.11,24.43
36320,1.11,24.43
36843,1.09,24.43
37366,1.15,24.43
37890,1.14,24.43
38413,1.14,24.43
38936,1.10,24.43
39462,1.15,24.43
39986,1.12,24.43
40510,1.14,24.43
41033,1.13,24.43
41555,1.11,24.43
42080,1.12,24.43
42603,1.11,24.43
43129,1.11,24.43
43654,1.18,24.43
44177,1.19,24.43
44700,1.11,24.43
45223,1.13,24.43
45747,1.11,24.44
46270,1.10,24.44
46793,1.09,24.43
47316,1.09,24.43
47840,1.08,24.43
48363,1.08,24.43
48886,1.10,24.43
49410,1.10,24.43
49933,1.10,24.43
50456,1.08,24.43
50979,1.11,24.43
51503,1.11,24.43
52026,1.12,24.43
52548,1.12,24.43
53071,1.13,24.43
53595,1.12,24.43
54118,1.10,24.43
54644,1.09,24.43
55169,1.10,24.43
55693,1.10,24.43
56216,1.10,24.43
56739,1.12,24.43
57267,1.12,24.43
57790,1.12,24.43
58313,1.11,24.43
58836,1.11,24.43
59360,1.11,24.43
59883,1.12,24.43
60406,1.12,24.43
60930,1.13,24.43
61453,1.10,24.43
61976,1.10,24.43
62499,1.12,24.43
63023,1.10,24.44
63546,1.10,24.43
64069,1.09,24.43
64592,1.10,24.43
65116,1.09,24.43
65639,1.09,24.43
66162,1.08,24.43
66685,1.11,24.43
67209,1.10,24.43
67732,1.10,24.44
68255,1.10,24.43
68779,1.09,24.43
69305,1.08,24.43
69828,1.11,24.43
70351,1.10,24.43
70875,1.12,24.43
71398,1.11,24.43
71925,1.13,24.43
72449,1.15,24.42
72972,1.14,24.42
73495,1.02,24.44
74018,1.12,24.44
74542,1.13,24.43
75065,1.14,24.43
75588,1.16,24.43
76111,1.12,24.43
76635,1.14,24.43
77158,1.13,24.43
77681,1.11,24.42
78203,1.12,24.43
78727,1.09,24.43
79250,1.12,24.43
79773,1.13,24.43
80296,1.11,24.43
80820,1.10,24.43
81343,1.12,24.43
81866,1.11,24.43
82390,1.12,24.43
82913,1.07,24.43
83436,1.09,24.43
83959,1.09,24.43
84485,1.07,24.44
85008,1.06,24.44
85531,1.07,24.43
86054,1.07,24.43
86582,1.09,24.43
87106,1.08,24.43
87629,1.09,24.43
88153,1.11,24.43
88676,1.07,24.43
89199,1.08,24.43
89722,1.11,24.43
90245,1.10,24.43
90769,1.08,24.43
91292,1.10,24.43
91815,1.10,24.43
92339,1.11,24.43
92862,1.12,24.43
93385,1.13,24.42
93908,1.15,24.42
94432,1.12,24.43
94955,1.13,24.43
95478,1.11,24.43
96002,1.13,24.43
96525,1.15,24.43
97048,1.16,24.42
97571,1.07,24.43
98095,1.07,24.43
98618,1.12,24.42
99144,1.14,24.43
99667,1.09,24.43
100191,1.06,24.43
100718,1.07,24.44
101242,1.12,24.42
101766,1.13,24.44
102289,1.12,24.43
102812,1.10,24.43
103335,1.12,24.43
103859,1.12,24.43
104382,1.09,24.43
104905,1.06,24.43
105428,1.10,24.43
105952,1.07,24.44
106475,1.09,24.43
106998,1.06,24.44
107522,1.09,24.43
108045,1.07,24.44
108568,1.10,24.43
109091,1.10,24.43
109615,1.10,24.43
110138,1.09,24.43
110661,1.08,24.43
111184,1.09,24.43
111708,1.11,24.43
112231,1.06,24.44
112755,1.13,24.43
113281,1.11,24.42
113805,1.10,24.43
114328,1.12,24.43
114851,1.12,24.43
115379,1.12,24.42
115904,1.11,24.43
116429,1.12,24.44
116955,1.14,24.43
117478,1.14,24.42
118000,1.13,24.43
118523,1.12,24.42
119047,1.11,24.43
119570,1.11,24.43
120093,1.20,24.42
120616,1.13,24.43
121140,1.15,24.42
121663,1.12,24.43
122186,1.15,24.42
122710,1.12,24.42
123233,1.11,24.43
123756,1.11,24.43
124279,1.09,24.43
124803,1.06,24.43
125326,1.16,24.42
125849,1.13,24.42
126372,1.09,24.43
126896,1.14,24.42
127422,1.11,24.43
127945,1.11,24.42
128468,1.09,24.43
128993,1.07,24.43
129519,1.09,24.43
130043,1.12,24.43
130567,1.03,24.43
131090,1.08,24.43
131613,1.06,24.42
132136,1.06,24.43
132661,1.12,24.42
133184,1.08,24.43
133707,1.12,24.44
134231,1.10,24.43
134754,1.10,24.43
135278,1.11,24.43
135801,1.11,24.43
136325,1.15,24.42
136848,1.07,24.43
137371,1.02,24.43
137894,1.10,24.43
138419,1.08,24.43
138942,1.08,24.43
139465,1.11,24.43
139988,1.11,24.43
140512,1.08,24.43
141035,1.11,24.42
141561,1.10,24.43
142085,1.11,24.43
142608,1.05,24.43
143131,1.13,24.43
143655,1.10,24.42
144182,1.15,24.42
144706,1.13,24.42
145229,1.15,24.42
145754,1.11,24.42
146277,1.12,24.42
146800,1.14,24.43
147323,1.13,24.42
147847,1.14,24.42
148370,1.14,24.43
148894,1.10,24.42
149417,1.11,24.43
149941,1.10,24.42
150464,1.10,24.43
150987,1.09,24.43
151511,1.08,24.43
152034,1.11,24.43
152558,1.08,24.43
153081,1.12,24.42
153605,1.08,24.43
154128,1.06,24.43
154651,1.09,24.42
155174,1.10,24.42
155701,1.09,24.42
156224,1.11,24.42
156747,1.11,24.43
157272,1.07,24.43
157795,1.07,24.43
158321,1.09,24.42
158845,1.09,24.42
159369,1.10,24.42
159892,1.11,24.42
160415,1.11,24.42
160939,1.14,24.42
161462,1.16,24.42
161985,1.12,24.42
162507,1.12,24.42
163031,1.11,24.42
163554,1.13,24.42
164078,1.12,24.42
164600,1.12,24.42
165124,1.11,24.42
165647,1.09,24.42
166171,1.12,24.42
166693,1.12,24.42
167217,1.12,24.43
167740,1.13,24.42
168264,1.12,24.42
168786,1.14,24.42
169310,1.10,24.43
169836,1.10,24.43
170360,1.09,24.43
170884,1.08,24.43
171407,1.10,24.43
171931,1.09,24.43
172454,1.09,24.43
172981,1.10,24.42
173505,1.11,24.42
174028,1.11,24.42
174553,1.11,24.42
175076,1.10,24.42
175598,1.10,24.42
176121,1.09,24.42
176646,1.09,24.42
177169,1.10,24.42
177691,1.11,24.42
178214,1.11,24.42
178738,1.13,24.42
179261,1.14,24.42
179784,1.13,24.42
180307,1.13,24.42
180831,1.13,24.42
181354,1.12,24.42
181877,1.11,24.42
182401,1.12,24.42
182924,1.10,24.42
183447,1.14,24.42
183973,1.11,24.42
184497,1.10,24.42
185020,1.10,24.42
185543,1.09,24.42
186066,1.08,24.42
186590,1.08,24.42
187115,1.08,24.42
187638,1.09,24.42
188162,1.09,24.42
188685,1.07,24.42
189208,1.09,24.42
189731,1.10,24.42
190255,1.10,24.42
190778,1.10,24.43
191301,1.09,24.42
191825,1.08,24.42
192349,1.10,24.42
192872,1.08,24.42
193395,1.09,24.42
193918,1.11,24.42
194442,1.11,24.42
194965,1.10,24.42
195488,1.09,24.42
196013,1.11,24.42
196536,1.11,24.42
197059,1.12,24.42
197582,1.13,24.42
198109,1.10,24.42
198632,1.10,24.42
199155,1.07,24.42
199678,1.10,24.42
200202,1.09,24.42
200725,1.11,24.42
201248,1.14,24.42
201774,1.13,24.42
202299,1.11,24.42
202822,1.06,24.42
203346,1.07,24.43
203870,1.11,24.42
204393,1.05,24.43
204916,1.07,24.42
205440,1.09,24.42
205962,1.06,24.42
206485,1.09,24.42
207008,1.11,24.42
207532,1.09,24.42
208055,1.10,24.42
208578,1.10,24.42
209101,1.08,24.42
209625,1.10,24.42
210148,1.12,24.42
210671,1.10,24.41
211194,1.11,24.42
211718,1.11,24.41
212243,1.10,24.42
212767,1.10,24.42
213291,1.15,24.41
213815,1.11,24.41
214338,1.12,24.41
214861,1.14,24.41
215386,1.08,24.42
215909,1.12,24.42
216435,1.09,24.42
216960,1.12,24.42
217483,1.10,24.42
218006,1.11,24.42
218529,1.11,24.41
219053,1.12,24.42
219576,1.10,24.42
220099,1.08,24.42
220623,1.14,24.41
221147,1.11,24.42
221671,1.05,24.42
222194,1.08,24.42
222717,1.10,24.42
223241,1.11,24.42
223765,1.08,24.42
224288,1.07,24.42
224812,1.10,24.42
225335,1.09,24.42
225858,1.05,24.42
226384,1.07,24.42
226908,1.08,24.42
227431,1.10,24.42
227955,1.07,24.42
228478,1.10,24.42
229002,1.07,24.42
229525,1.08,24.42
230048,1.09,24.42
230575,1.11,24.42
231099,1.08,24.41
231622,1.09,24.42
232145,1.10,24.41
232669,1.10,24.42
233192,1.12,24.41
233715,1.10,24.41
234238,1.14,24.42
234762,1.13,24.42
235285,1.11,24.41
235808,1.11,24.41
236332,1.10,24.42
236855,1.12,24.42
237378,1.09,24.41
237901,1.09,24.41
238425,1.10,24.42
238948,1.11,24.41
239471,1.11,24.41
239994,1.09,24.41
240521,1.11,24.42
241044,1.12,24.42
241568,1.09,24.42
242092,1.07,24.42
242616,1.09,24.42
243139,1.12,24.41
243662,1.09,24.42
244186,1.08,24.42
244709,1.05,24.42
245235,1.08,24.42
245760,1.10,24.42
246283,1.11,24.41
246806,1.05,24.42
247329,1.10,24.42
247853,1.10,24.41
248377,1.09,24.42
248899,1.10,24.41
249422,1.07,24.42
249946,1.07,24.42
250470,1.07,24.42
250993,1.10,24.41
251516,1.10,24.41
252040,1.09,24.41
252563,1.11,24.41
253086,1.10,24.41
253609,1.10,24.41
254133,1.13,24.41
254659,1.11,24.41
255182,1.12,24.41
255706,1.09,24.41
256229,1.11,24.41
256753,1.11,24.41
257276,1.12,24.41
257800,1.12,24.41
258323,1.09,24.41
258847,1.09,24.41
259374,1.10,24.41
259898,1.10,24.41
260421,1.12,24.42
260944,1.12,24.42
261468,1.06,24.42
261991,1.12,24.41
262514,1.08,24.41
263037,1.12,24.41
263561,1.10,24.42
264084,1.03,24.42
264607,1.07,24.41
265132,1.08,24.41
265655,1.08,24.41
266178,1.08,24.41
266701,1.08,24.41
267225,1.09,24.41
267748,1.08,24.41
268271,1.08,24.41
268798,1.08,24.41
269322,1.07,24.41
269858,1.09,24.41
270383,1.09,24.41
270906,1.07,24.41
271429,1.07,24.41
271953,1.10,24.41
272477,1.09,24.41
273000,1.10,24.41
273524,1.12,24.40
274052,1.15,24.40
274576,1.14,24.41
275099,1.14,24.41
275622,1.14,24.41
276146,1.15,24.41
276669,1.14,24.41
277192,1.13,24.41
277715,1.13,24.41
278239,1.12,24.41
278762,1.10,24.41
279285,1.12,24.41
279809,1.09,24.41
280332,1.11,24.41
280855,1.14,24.41
281378,1.04,24.41
281902,1.08,24.41
282425,1.13,24.41
282951,1.10,24.41
283474,1.11,24.41
283998,1.08,24.41
284521,1.10,24.41
285045,1.08,24.41
285569,1.10,24.41
286092,1.07,24.41
286615,1.07,24.41
287139,1.10,24.41
287663,1.08,24.41
288189,1.10,24.41
288713,1.09,24.41
289238,1.08,24.41
289762,1.08,24.41
290285,1.07,24.41
290808,1.08,24.41
291332,1.10,24.41
291855,1.09,24.41
292378,1.11,24.41
292901,1.13,24.41
293425,1.14,24.40
293948,1.12,24.40
294471,1.14,24.40
294993,1.13,24.41
295517,1.12,24.41
296040,1.15,24.40
296563,1.10,24.41
297084,1.13,24.41
297608,1.09,24.41
298131,1.10,24.41
298654,1.10,24.41
299177,1.11,24.41
299701,1.08,24.41
300224,1.10,24.40
300747,1.11,24.41
301271,1.13,24.41
301793,1.11,24.41
302316,1.10,24.41
302842,1.10,24.41
303366,1.08,24.41
303889,1.00,24.42
304412,1.09,24.41
304935,1.08,24.41
305459,1.08,24.41
305982,1.05,24.41
306505,1.11,24.41
307028,1.07,24.41
307552,1.07,24.41
308075,1.08,24.41
308598,1.10,24.41
309122,1.09,24.41
309646,1.09,24.41
310169,1.10,24.41
310695,1.10,24.41
311219,1.09,24.41
311742,1.09,24.40
312265,1.10,24.41
312787,1.13,24.40
313311,1.13,24.40
313834,1.11,24.40
314357,1.11,24.40
314881,1.10,24.40
315404,1.11,24.40
315927,1.10,24.40
316449,1.09,24.41
316973,1.10,24.40
317499,1.12,24.40
318024,1.10,24.41
318550,1.11,24.41
319074,1.10,24.41
319597,1.09,24.41
320120,1.08,24.41
320644,1.08,24.41
321166,1.07,24.41
321689,1.07,24.41
322212,1.09,24.41
322736,1.09,24.41
323259,1.10,24.41
323782,1.10,24.41
324305,1.09,24.40
324831,1.09,24.40
325354,1.08,24.40
325877,1.09,24.40
326401,1.09,24.41
326924,1.10,24.41
327448,1.10,24.40
327971,1.10,24.40
328495,1.10,24.40
329018,1.12,24.40
329541,1.12,24.40
330064,1.11,24.40
330588,1.10,24.40
331111,1.09,24.40
331634,1.12,24.40
332163,1.10,24.40
332687,1.10,24.40
333210,1.12,24.40
333733,1.12,24.40
334257,1.12,24.40
334780,1.11,24.41
335303,1.09,24.41
335826,1.09,24.41
336350,1.07,24.41
336873,1.08,24.40
337396,1.07,24.40
337920,1.11,24.40
338444,1.08,24.40
338969,1.07,24.40
339492,1.08,24.40
340016,1.07,24.40
340539,1.09,24.40
341062,1.07,24.40
341585,1.07,24.40
342109,1.09,24.40
342632,1.09,24.41
343156,1.09,24.40
343678,1.10,24.40
344203,1.09,24.40
344726,1.11,24.40
345249,1.12,24.40
345773,1.12,24.40
346298,1.13,24.40
346823,1.12,24.40
347346,1.12,24.40
347870,1.11,24.40
348393,1.09,24.40
348916,1.12,24.40
349440,1.11,24.40
349963,1.10,24.40
350486,1.10,24.40
351010,1.11,24.40
351534,1.09,24.40
352057,1.08,24.40
352580,1.09,24.40
353106,1.08,24.41
353630,1.09,24.40
354153,1.06,24.41
354677,1.09,24.40
355201,1.09,24.40
355724,1.10,24.40
356248,1.10,24.40
356772,1.09,24.40
357296,1.08,24.40
357819,1.09,24.40
358342,1.08,24.40
358865,1.08,24.40
359389,1.08,24.40
359912,1.09,24.40
360435,1.08,24.40
360962,1.11,24.40
361487,1.10,24.40
362010,1.09,24.40
362533,1.11,24.40
363057,1.11,24.40
363580,1.11,24.40
364103,1.11,24.40
364626,1.12,24.40
365150,1.11,24.40
365673,1.11,24.40
366196,1.12,24.40
366720,1.12,24.40
367246,1.09,24.40
367769,1.07,24.41
368292,1.06,24.41
368816,1.06,24.40
369340,1.07,24.40
369863,1.09,24.40
370386,1.07,24.40
370910,1.10,24.40
371434,1.08,24.40
371957,1.09,24.40
372481,1.09,24.40
373004,1.06,24.40
373527,1.09,24.40
374050,1.08,24.40
374575,1.11,24.40
375101,1.11,24.40
375624,1.11,24.40
376147,1.12,24.40
376671,1.10,24.40
377194,1.10,24.40
377717,1.11,24.39
378242,1.10,24.39
378765,1.12,24.40
379288,1.13,24.40
379811,1.13,24.40
380335,1.09,24.40
380859,1.09,24.40
381385,1.10,24.39
381907,1.11,24.40
382432,1.11,24.40
382955,1.11,24.40
383479,1.08,24.40
384003,1.08,24.40
384526,1.08,24.40
385049,1.09,24.40
385572,1.08,24.40
386096,1.09,24.40
386619,1.08,24.40
387143,1.08,24.40
387666,1.08,24.39
388190,1.07,24.40
388713,1.08,24.40
389236,1.08,24.40
389764,1.07,24.40
390287,1.08,24.40
390810,1.09,24.40
391333,1.08,24.40
391858,1.09,24.40
392380,1.13,24.39
392903,1.11,24.39
393427,1.10,24.39
393951,1.09,24.40
394474,1.10,24.39
394997,1.12,24.39
395525,1.13,24.39
396048,1.11,24.40
396571,1.09,24.39
397094,1.07,24.40
397618,1.11,24.39
398141,1.10,24.40
398664,1.09,24.40
399188,1.10,24.40
399712,1.10,24.40
400235,1.09,24.39
400758,1.07,24.40
401282,1.07,24.40
401806,1.07,24.40
402329,1.08,24.40
402852,1.08,24.40
403376,1.08,24.40
403902,1.08,24.40
404428,1.10,24.40
404953,1.10,24.39
405476,1.10,24.39
405999,1.09,24.40
406522,1.09,24.39
407047,1.08,24.39
407570,1.08,24.39
408093,1.08,24.39
408616,1.10,24.39
409140,1.10,24.39
409666,1.10,24.39
410189,1.10,24.39
410713,1.09,24.39
411236,1.10,24.39
411759,1.11,24.39
412282,1.09,24.39
412806,1.09,24.39
413329,1.09,24.39
413852,1.09,24.39
414375,1.09,24.39
414899,1.08,24.39
415422,1.10,24.39
415945,1.11,24.39
416468,1.09,24.39
416992,1.11,24.39
417515,1.10,24.39
418038,1.09,24.40
418566,1.10,24.39
419090,1.07,24.40
419612,1.09,24.39
420135,1.07,24.40
420659,1.07,24.39
421182,1.07,24.39
421705,1.08,24.39
422228,1.09,24.39
422752,1.08,24.39
423275,1.09,24.39
423800,1.09,24.39
424324,1.09,24.39
424848,1.10,24.39
425371,1.11,24.39
425893,1.11,24.39
426417,1.09,24.39
426940,1.10,24.39
427464,1.11,24.39
427986,1.10,24.39
428511,1.12,24.39
429034,1.11,24.39
429557,1.12,24.39
430081,1.08,24.39
430604,1.09,24.39
431127,1.11,24.39
431650,1.08,24.39
432174,1.11,24.39
432697,1.09,24.39
433225,1.09,24.39
433750,1.07,24.39
434272,1.07,24.39
434795,1.05,24.39
435318,1.08,24.39
435842,1.08,24.39
436365,1.09,24.39
436888,1.07,24.39
437411,1.06,24.39
437938,1.08,24.39
