872,1.61,27.69
874,1.68,27.72
876,1.58,27.86
878,1.65,27.74
880,1.65,27.77
882,1.66,27.82
884,1.67,27.93
886,1.59,27.80
888,1.58,27.78
890,1.55,27.89
892,1.59,27.79
894,1.64,27.82
896,1.62,27.94
898,1.63,27.89
900,1.63,27.89
902,1.66,27.75
904,1.63,27.85
906,1.63,27.85
908,1.58,27.78
910,1.65,27.85
914,1.66,27.95
916,1.65,27.91
918,1.62,27.82
920,1.60,27.94
922,1.62,27.84
924,1.64,27.79
926,1.63,27.99
928,1.64,27.87
930,1.63,27.90
932,1.64,27.93
934,1.62,27.85
937,1.62,28.01
939,1.65,27.82
941,1.66,27.86
943,1.63,28.02
949,1.66,28.00
951,1.62,27.85
953,1.61,28.01
955,1.67,27.93
957,1.62,27.89
959,1.61,28.10
961,1.62,28.00
963,1.55,27.98
965,1.63,27.96
967,1.61,27.93
969,1.63,27.92
971,1.62,27.93
973,1.67,27.95
983,1.64,27.94
985,1.63,28.08
987,1.67,27.89
989,1.59,28.07
991,1.69,28.08
993,1.68,27.96
995,1.69,28.04
997,1.62,28.00
999,1.62,28.03
1001,1.62,28.02
1003,1.66,28.11
1005,1.65,27.93
1007,1.65,28.02
1009,1.65,27.97
1011,1.67,27.95
1013,1.60,28.12
1015,1.61,27.95
1017,1.66,28.03
1019,1.60,28.15
1021,1.61,28.03
1027,1.64,28.09
1029,1.63,28.00
1031,1.6 ,28.15
1033,1.61,28.03
1035,1.63,28.02
1037,1.67,28.21
1039,1.64,28.07
1042,1.65,28.02
1044,1.59,28.11
1046,1.66,28.09
1048,1.62,28.09
1050,1.63,28.01
1052,1.63,28.26
1058,1.64,28.20
1060,1.60,28.07
1062,1.65,28.24
1064,1.64,28.10
1066,1.65,28.13
1068,1.67,28.13
1070,1.63,28.19
1072,1.64,28.09
1082,1.67,28.05
1084,1.65,28.21
1086,1.59,28.08
1088,1.62,28.30
1090,1.62,28.13
1092,1.60,28.22
1094,1.63,28.08
1096,1.54,28.19
1098,1.62,28.10
1100,1.68,28.20
1102,1.66,28.14
1104,1.61,28.20
1106,1.60,28.31
1108,1.59,28.15
1110,1.63,28.28
1112,1.65,28.14
1114,1.61,28.25
1116,1.64,28.09
1118,1.66,28.17
1120,1.64,28.29
1122,1.63,28.16
1124,1.67,28.34
1126,1.61,28.24
1128,1.61,28.33
