time,voltage,current
61,0.07,22.95
583,0.06,23.00
1107,0.06,23.02
1631,0.06,23.02
2154,0.06,23.01
2677,0.06,23.01
3201,0.06,23.02
3724,0.06,23.02
4247,0.06,23.02
4773,0.87,22.47
5297,1.14,21.89
5826,0.99,21.95
6351,1.05,21.87
6876,1.02,21.80
7399,0.99,21.72
7922,1.04,21.65
8445,1.04,21.59
8969,1.02,21.55
9492,1.01,21.47
10015,1.03,21.42
10539,1.02,21.37
11062,1.03,21.30
11585,1.02,21.24
12108,1.02,21.20
12632,1.04,21.15
13155,1.01,21.14
13678,1.01,21.07
14201,1.03,21.04
14725,1.01,21.01
15248,1.00,20.96
15771,1.01,20.92
16294,1.03,20.89
16818,1.03,20.85
17341,1.01,20.83
17864,1.01,20.78
18387,0.99,20.76
18911,1.03,20.71
19434,1.04,20.71
19964,0.98,20.68
20488,1.03,20.64
21011,1.02,20.65
21534,1.04,20.61
22057,1.02,20.59
22582,0.98,20.55
23104,1.02,20.56
23628,0.99,20.53
24152,1.05,20.51
24675,1.03,20.51
25198,1.02,20.50
25721,1.01,20.50
26245,1.04,20.48
26769,1.00,20.47
27291,1.03,20.43
27815,0.97,20.50
28339,1.02,20.44
28862,1.03,20.46
29385,1.05,20.43
29908,0.99,20.44
30432,1.02,20.41
30955,1.00,20.42
31478,1.00,20.42
32003,1.00,20.41
32526,1.01,20.42
33049,1.04,20.41
33572,1.02,20.41
34096,0.97,20.39
34628,1.00,20.40
35153,1.06,20.39
35678,0.99,20.39
36201,1.06,20.37
36724,1.02,20.40
37248,1.02,20.38
37771,1.01,20.39
38294,1.04,20.37
38817,1.01,20.39
39341,1.01,20.36
39864,1.03,20.38
40387,0.99,20.35
40910,1.04,20.36
41434,1.00,20.35
41957,1.03,20.31
42480,1.02,20.25
43003,1.00,20.29
43527,1.00,20.33
44050,1.02,20.30
44573,0.99,20.32
45096,1.05,20.33
45620,0.99,20.32
46144,1.03,20.30
46667,1.04,20.33
47190,1.02,20.31
47713,0.96,20.31
48237,1.04,20.31
48760,1.02,20.31
49288,1.03,20.29
49816,1.02,20.31
50339,0.98,20.29
50864,0.94,20.31
51387,1.06,20.29
51910,1.00,20.30
52433,1.00,20.29
52957,1.01,20.33
53480,1.02,20.30
54003,1.01,20.29
54526,0.98,20.28
55050,0.95,20.30
55573,1.02,20.29
56096,1.02,20.28
56621,0.97,20.28
57144,0.99,20.29
57667,1.03,20.28
58190,1.04,20.29
58714,1.01,20.29
59237,1.03,20.29
59760,1.05,20.29
60283,0.94,20.26
60807,0.99,20.28
61330,1.05,20.24
61853,1.01,20.30
62377,1.01,20.26
62901,1.01,20.25
63428,0.99,20.27
63951,1.00,20.26
64478,1.04,20.27
65001,1.01,20.26
65524,1.02,20.26
66049,1.01,20.27
66572,1.00,20.25
67095,1.04,20.26
67618,1.02,20.26
68142,1.00,20.26
68665,1.03,20.26
69188,0.99,20.25
69711,1.02,20.26
70235,1.01,20.26
70759,1.00,20.25
71282,1.01,20.24
71805,1.02,20.24
72329,0.98,20.25
72852,1.03,20.25
73375,1.01,20.25
73899,1.01,20.23
74422,1.00,20.25
74945,1.04,20.24
75469,1.00,20.24
75993,1.03,20.23
76516,1.00,20.25
77039,1.06,20.23
77562,0.99,20.25
78089,1.01,20.24
78613,0.95,20.26
79139,1.04,20.25
79663,1.04,20.24
80186,1.02,20.24
80709,0.99,20.23
81232,0.99,20.23
81756,1.00,20.24
82279,1.02,20.23
82803,1.00,20.24
83326,1.01,20.23
83850,0.99,20.21
84373,0.96,20.21
84896,1.01,20.23
85421,1.04,20.22
85944,1.02,20.21
86467,1.01,20.21
86990,1.12,20.14
87514,1.03,20.21
88038,1.03,20.21
88561,1.72,19.73
89084,3.94,18.79
89608,1.09,20.02
90131,1.02,20.16
90654,1.02,20.17
91179,0.98,20.20
